"ID";"Nature";"Increases";"Decreases"
1;"Adamant";"Attack";"Sp. Atk"
2;"Bashful";"Sp. Atk";"Sp. Atk"
3;"Bold";"Defense";"Attack"
4;"Brave";"Attack";"Speed"
5;"Calm";"Sp. Def";"Attack"
6;"Careful";"Sp. Def";"Sp. Atk"
7;"Docile";"Defense";"Defense"
8;"Gentle";"Sp. Def";"Defense"
9;"Hardy";"Attack";"Attack"
10;"Hasty";"Speed";"Defense"
11;"Impish";"Defense";"Sp. Atk"
12;"Jolly";"Speed";"Sp. Atk"
13;"Lax";"Defense";"Sp. Def"
14;"Lonely";"Attack";"Defense"
15;"Mild";"Sp. Atk";"Defense"
16;"Modest";"Sp. Atk";"Attack"
17;"Naïve";"Speed";"Sp. Def"
18;"Naughty";"Attack";"Sp. Def"
19;"Quiet";"Sp. Atk";"Speed"
20;"Quirky";"Sp. Def";"Sp. Def"
21;"Rash";"Sp. Atk";"Sp. Def"
22;"Relaxed";"Defense";"Speed"
23;"Sassy";"Sp. Def";"Speed"
24;"Serious";"Speed";"Speed"
25;"Timid";"Speed";"Attack"
